Model,Accuracy,Precision,Recall,F1-Score
STATIC,0.9966666666666667,0.9970370370370369,0.9966666666666667,0.9966535947712418
LSTM,0.99,0.9911574074074074,0.99,0.9899567621920564
ATTENTION,0.9866666666666667,0.9881944444444446,0.9866666666666667,0.9865655390361273
